weight_g,analog_readings_Rm,V_fsr_measured_V,V_Rm_measured_V,V_fsr_analog_V,V_Rm_analog_V,mm_fsr_resistance,anlaog_fsr_resistance,mm_fsr_resistance_ohms,weight_kg,force_N
19,20,4.92,0.08,4.903,0.097,123000.0,101092.7835,123000.0,0.019,0.1862
38,70,4.66,0.34,4.658,0.342,27411.76471,27239.76608,27411.76470588235,0.038,0.3724
55,101,4.51,0.49,4.507,0.493,18408.16327,18283.97566,18408.163265306124,0.055,0.539
75,155,4.25,0.75,4.243,0.757,11333.33333,11210.03963,11333.333333333334,0.075,0.735
92,245,3.81,1.19,3.803,1.197,6403.361345,6354.218881,6403.361344537816,0.092,0.9016000000000001
165,413,2.97,2.03,2.982,2.018,2926.108374,2955.401388,2926.1083743842373,0.165,1.6170000000000002
290,551,2.295,2.705,2.307,2.693,1696.857671,1713.330858,1696.857670979667,0.29,2.842
97,240,3.83,1.17,3.827,1.173,6547.008547,6525.14919,6547.008547008547,0.097,0.9506000000000001
106,258,3.75,1.25,3.74,1.26,6000.0,5936.507937,6000.0,0.106,1.0388
116,270,3.69,1.31,3.681,1.319,5633.587786,5581.501137,5633.587786259542,0.116,1.1368
126,283,3.62,1.38,3.617,1.383,5246.376812,5230.65799,5246.376811594204,0.126,1.2348000000000001
191,390,3.29,1.71,3.094,1.906,3847.953216,3246.589717,3847.953216374269,0.191,1.8718000000000001
465,583,2.146,2.854,2.151,2.849,1503.85424,1510.00351,1503.8542396636299,0.465,4.557
736,645,1.724,3.276,1.848,3.152,1052.503053,1172.588832,1052.503052503053,0.736,7.2128000000000005
25,59,4.63,0.37,4.712,0.288,25027.02703,32722.22222,25027.027027027027,0.025,0.24500000000000002
51,60,4.52,0.48,4.702,0.298,18833.33333,31557.04698,18833.333333333336,0.051,0.4998
10,10,4.97,0.03,4.952,0.048,331333.3333,206333.3333,331333.3333333334,0.01,0.098
32,40,4.82,0.18,4.805,0.195,53555.55556,49282.05128,53555.555555555555,0.032,0.31360000000000005
25,65,4.7,0.3,4.683,0.317,31333.33333,29545.74132,31333.333333333336,0.025,0.24500000000000002
140,373,3.169,1.831,3.177,1.823,3461.49645,3485.463522,3461.496450027307,0.14,1.3720000000000003
176,452,2.714,2.286,2.791,2.209,2374.453193,2526.935265,2374.4531933508315,0.176,1.7248
